Name,Gender,Age,Class,House,Unit Test 1,Unit Test 2,Final Test,Email,,,,
Sam,M,11,6,Agni,91,81,94,Sam@mail.com,,Insert ,Slicer,
Vidya,F,11,6,Vayu,88,90,92,Vidya@mail.com,,,,
Arjun,M,11,5,Vayu,82,83,91,Arjun@mail.com,,,,
Madhav,M,12,7,Jal,86,92,89,Madhav@mail.com,,,,
Vrinda,F,14,8,Agni,91,96,98,Vrinda@mail.com,,,,
Indu,F,14,8,Vayu,90,86,89,Indu@mail.com,,,,
Gopal,M,14,8,Bhoomi,70,75,79,Gopal@mail.com,,,,
Keshav,M,15,9,Agni,87,89,96,Keshav@mail.com,,,,
Varun,M,15,9,Vayu,87,89,95,Varun@mail.com,,,,
Champa,F,15,8,Jal,81,78,88,Champa@mail.com,,,,
Abhimanyu,M,16,10,Bhoomi,84,79,99,Abhimanyu@mail.com,,,,
Gopi,F,16,10,Agni,88,92,96,Gopi@mail.com,,,,
Sudevi,F,16,10,Jal,81,80,87,Sudevi@mail.com,,,,
Visakha,F,16,10,Bhoomi,70,87,85,Visakha@mail.com,,,,
Hari,M,16,10,Bhoomi,82,81,80,Hari@mail.com,,,,
RNM,M,16,10,Agni,86,81,77,RNM@mail.com,,For Shape,Insert,Shapes
Lalita,F,17,10,Vayu,70,90,92,Lalita@mail.com,,,,
